side,label,mfe,mae,hw,arm
-1,BOUNCE,0.0,-2.0,12.0,3
-1,BOUNCE,3.0,-0.0,12.0,1
-1,BOUNCE,3.0,-1.0,12.0,1
-1,BOUNCE,3.0,0.0,12.0,2
-1,BOUNCE,0.0,-2.0,12.0,0
1,BOUNCE,3.0,0.0,12.0,0
1,BOUNCE,0.0,-3.0,12.0,3
1,BOUNCE,1.0,0.0,12.0,0
1,BOUNCE,1.0,-1.0,12.0,1
-1,BOUNCE,0.0,-2.0,12.0,1
-1,BOUNCE,3.0,0.0,12.0,2
-1,BOUNCE,-0.0,-1.0,12.0,3
-1,BOUNCE,4.0,0.0,12.0,1
-1,BOUNCE,2.0,0.0,12.0,1
-1,BOUNCE,0.0,-2.0,12.0,2
-1,BOUNCE,0.0,-3.0,12.0,0
-1,BOUNCE,0.0,-3.0,12.0,1
-1,BOUNCE,1.0,-0.0,12.0,3
-1,BOUNCE,-0.0,-1.0,12.0,2
1,BOUNCE,0.0,-1.0,12.0,2
1,BOUNCE,0.0,-1.0,12.0,0
1,BOUNCE,0.0,-1.0,12.0,1
1,BOUNCE,0.0,-2.0,12.0,3
-1,BOUNCE,0.0,-3.0,12.0,0
1,BOUNCE,0.0,-3.0,12.0,2
1,BOUNCE,2.0,0.0,12.0,0
1,BOUNCE,2.0,0.0,12.0,1
-1,BOUNCE,2.0,-0.0,12.0,1
-1,BOUNCE,1.0,-0.0,12.0,3
-1,BOUNCE,0.0,-3.0,12.0,1
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,0.0,-3.0,12.0,0
1,BOUNCE,0.0,-2.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,2
1,BOUNCE,2.0,0.0,12.0,2
1,BOUNCE,0.0,-3.0,12.0,3
-1,BOUNCE,-0.0,-1.0,12.0,0
-1,BOUNCE,2.0,0.0,12.0,3
-1,BOUNCE,0.0,-3.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,3
-1,BOUNCE,-0.0,-1.0,12.0,2
1,BOUNCE,0.0,-3.0,12.0,0
1,BOUNCE,0.0,-3.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,0
-1,BOUNCE,-0.0,-1.0,12.0,1
1,BOUNCE,0.0,-3.0,12.0,2
1,BREAKOUT_UP,0.4000000000014552,0.0,45.0,3
1,BREAKOUT_UP,0.4000000000014552,0.0,45.0,0
1,BREAKOUT_UP,0.4000000000014552,0.0,45.0,1
1,BREAKOUT_UP,0.4000000000014552,0.0,45.0,2
1,BREAKOUT_UP,0.4000000000014552,0.0,45.0,3
1,BREAKOUT_UP,0.4000000000014552,0.0,45.0,0
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,1
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,2
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,0
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,3
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,1
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,0
1,BREAKOUT_UP,2.400000000001455,0.0,45.0,2
1,BREAKOUT_UP,181.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,181.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,181.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,181.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,181.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,181.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,179.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,163.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,163.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,177.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,175.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,173.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,171.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,169.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,167.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,163.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,163.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,165.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,163.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,157.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,155.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,157.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,157.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,157.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,161.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,159.40000000000146,0.0,45.0,3
1,BREAKOUT_UP,0.4328571428559371,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,2.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.6285714285695576,0.0,56.0,3
1,BREAKOUT_UP,0.8085714285698486,0.0,56.0,3
1,BREAKOUT_UP,0.40571428571274737,0.0,69.0,3
1,BREAKOUT_UP,0.4457142857136205,0.0,46.0,3
1,BREAKOUT_UP,2.4457142857136205,0.0,46.0,3
-1,BREAKOUT_DOWN,0.4028571428571013,0.0,67.0,0
-1,BREAKOUT_DOWN,0.4028571428571013,0.0,67.0,3
1,BREAKOUT_UP,0.44428571428579744,0.0,56.0,3
-1,BREAKOUT_DOWN,44.41428571428696,0.0,72.0,0
1,BREAKOUT_UP,0.5557142857142026,0.0,42.0,3
1,BREAKOUT_UP,0.5814285714295693,0.0,42.0,3
1,BREAKOUT_UP,65.62142857143044,-65.62142857143044,45.0,3
1,BREAKOUT_UP,0.0,0.0,24.0,3
0,CENSORED_OR_AMBIGUOUS,148.63999999999942,0.0,57.0,3
1,BREAKOUT_UP,370.5599999999977,-370.5599999999977,72.0,3
0,CENSORED_OR_AMBIGUOUS,59.55999999999767,0.0,89.0,3
1,BREAKOUT_UP,63.23999999999796,-63.23999999999796,38.0,3
-1,BREAKOUT_DOWN,276.5,-276.5,75.0,2
1,BREAKOUT_UP,72.27999999999884,-72.27999999999884,36.0,3
1,BREAKOUT_UP,164.1999999999971,-164.1999999999971,90.0,3
-1,BREAKOUT_DOWN,420.0,-420.0,50.0,3
1,BREAKOUT_UP,0.0,0.0,56.0,3
1,BREAKOUT_UP,285.8000000000029,-285.8000000000029,60.0,3
1,BREAKOUT_UP,118.80000000000291,-118.80000000000291,60.0,3
-1,BREAKOUT_DOWN,73.44000000000233,-73.44000000000233,78.0,0
